variable,data_type
age,numeric
gender,factor
insurance_type,factor
socioeconomic_risk_score,numeric
previous_admissions_6m,numeric
previous_readmissions_1y,numeric
time_since_last_discharge,numeric
length_of_stay,numeric
admission_type,factor
primary_diagnosis_group,factor
comorbidity_index,numeric
chronic_disease_count,numeric
icu_stay_flag,factor
severity_score,numeric
hb_a1c_level,numeric
creatinine_level,numeric
hemoglobin_level,numeric
average_systolic_bp,numeric
number_of_medications,numeric
medication_change_count,numeric
high_risk_medication_flag,factor
followup_appointment_scheduled,factor
discharge_disposition,factor
medication_adherence_score,numeric
readmitted_within_30_days,factor
readmission_category,factor
