variable,missing_count,missing_percent
age,0,0
gender,0,0
insurance_type,0,0
socioeconomic_risk_score,0,0
previous_admissions_6m,0,0
previous_readmissions_1y,0,0
time_since_last_discharge,0,0
length_of_stay,0,0
admission_type,0,0
primary_diagnosis_group,0,0
comorbidity_index,0,0
chronic_disease_count,0,0
icu_stay_flag,0,0
severity_score,0,0
hb_a1c_level,0,0
creatinine_level,0,0
hemoglobin_level,0,0
average_systolic_bp,0,0
number_of_medications,0,0
medication_change_count,0,0
high_risk_medication_flag,0,0
followup_appointment_scheduled,0,0
discharge_disposition,0,0
medication_adherence_score,0,0
readmitted_within_30_days,0,0
